Quarter,Armenia,Belarus,Belgium,Bulgaria,Canada,Hong Kong,France,Georgia,Germany,Iran,Israel,Italy,Lithuania,Netherlands,Poland,Romania,Russia,Switzerland,Thailand,PartnerGDP,CrudeOil,NaturalGas,Remittances
2010Q2,74.67,"1,296.39",37.68,72.79,40.48,32.10,35.64,89.48,30.72,279.31,45.13,34.31,56.03,38.72,51.93,224.16,231.38,34.89,55.37,127.27,78.18,5.91,109.57
2010Q3,106.43,"1,652.53",36.51,81.79,42.78,35.52,35.13,94.60,31.99,286.85,45.72,33.63,57.72,37.29,53.03,260.91,252.95,35.17,55.46,139.65,75.51,6.27,130.79
2010Q4,114.80,"1,596.92",39.67,85.45,43.31,37.63,36.84,105.58,32.21,309.23,46.35,36.60,57.29,39.34,60.43,284.00,277.78,35.57,57.39,149.56,85.42,6.17,188.38
2011Q1,62.12,"1,540.16",37.56,69.62,41.43,36.04,36.30,91.28,32.11,357.52,46.58,33.40,54.35,38.20,53.43,199.77,265.48,35.33,61.80,142.78,99.75,6.81,119.16
2011Q2,82.82,"2,135.48",39.10,81.57,42.97,35.51,36.87,103.72,32.25,381.00,47.65,35.28,62.75,39.41,56.09,234.46,296.58,35.83,58.69,161.92,110.05,7.34,138.03
2011Q3,116.35,"2,845.91",37.71,89.36,45.80,38.53,36.05,111.01,33.37,353.86,49.01,34.39,65.70,37.89,57.47,277.82,324.82,35.66,59.55,177.95,103.07,7.50,164.75
2011Q4,122.09,"3,631.95",40.85,84.21,46.00,40.35,37.70,123.45,33.18,372.57,50.08,36.66,63.22,39.55,65.72,295.97,350.85,35.83,56.02,195.02,103.16,7.37,220.37
2012Q1,66.87,"3,510.22",38.67,68.16,42.98,37.61,37.03,100.02,33.06,359.87,49.30,33.33,58.87,38.36,56.40,206.40,307.57,35.62,61.94,174.77,112.52,6.98,135.77
2012Q2,89.93,"4,544.11",40.04,81.22,44.39,36.86,37.29,114.40,32.84,424.14,50.76,34.60,65.46,39.68,59.17,252.50,334.19,35.86,61.98,199.45,102.83,6.90,146.27
2012Q3,123.55,"4,889.97",38.41,90.66,47.04,40.73,36.58,120.28,33.96,430.63,52.35,33.75,70.51,37.76,59.67,293.73,362.84,36.05,63.22,213.81,102.77,7.00,172.71
2012Q4,125.63,"5,152.75",41.54,89.86,47.06,43.21,38.20,126.92,33.71,466.89,52.52,35.98,67.50,39.86,66.78,317.57,384.01,36.30,66.63,225.42,101.93,7.57,230.4
2013Q1,79.58,"4,527.88",38.79,69.38,44.00,39.63,37.22,101.91,33.20,514.02,52.04,32.60,60.56,38.48,56.71,218.77,328.24,35.82,67.16,198.93,105.09,7.66,150.32
2013Q2,99.27,"5,410.45",40.54,80.04,45.72,38.29,37.90,115.45,33.82,619.43,54.98,34.22,68.93,40.08,59.71,266.82,354.35,36.72,64.95,223.94,99.32,8.19,171.75
2013Q3,138.32,"6,138.03",38.91,88.36,49.76,42.85,37.18,120.58,35.02,574.39,55.29,33.94,74.84,38.50,60.54,315.83,388.54,36.95,66.23,241.01,107.39,7.53,200.57
2013Q4,145.13,"6,087.83",42.41,91.43,49.43,45.51,38.82,135.68,34.83,567.33,56.03,36.16,70.68,40.40,69.14,343.97,407.51,37.04,68.30,248.17,104.51,7.64,263.24
2014Q1,82.70,"5,508.99",39.61,67.81,46.41,41.67,37.88,111.06,34.85,633.34,55.78,33.32,64.40,39.20,59.32,233.35,358.99,36.63,68.26,224.61,103.65,8.22,161.38
2014Q2,104.58,"6,320.45",41.16,80.90,48.56,40.92,38.28,126.47,34.99,741.81,56.68,34.51,72.42,40.50,62.09,282.54,393.45,37.17,67.22,251.83,106.32,7.41,170.04
2014Q3,146.48,"7,480.36",39.87,93.53,52.10,45.16,37.78,133.44,36.22,658.43,57.17,34.12,77.85,39.07,63.10,331.88,430.21,37.57,68.58,272.52,100.38,6.58,191.13
2014Q4,156.23,"7,319.17",43.17,94.56,51.06,47.99,39.50,143.27,36.26,604.26,59.36,36.45,73.00,41.33,70.92,357.34,459.39,37.81,72.18,278.13,74.59,6.63,190.09
2015Q1,89.26,"6,550.33",40.40,72.83,47.03,44.49,38.74,121.31,35.97,635.08,59.11,33.59,64.76,39.70,61.71,252.28,386.30,37.05,71.37,244.66,51.57,5.74,87.51
2015Q2,112.16,"7,137.34",42.35,88.20,48.67,43.99,39.16,137.80,36.35,727.00,60.01,35.18,73.84,41.83,64.46,293.87,408.33,37.52,70.40,265.75,60.45,4.72,125.21
2015Q3,154.64,"8,104.56",41.02,96.01,52.01,47.77,38.62,146.16,37.56,625.78,60.03,34.91,79.85,40.65,65.31,355.92,458.53,37.76,72.93,287.07,48.77,4.59,113.31
2015Q4,155.76,"7,920.19",44.52,99.14,50.90,50.24,40.40,154.93,37.77,626.32,61.95,37.30,76.02,42.32,75.76,382.36,476.56,37.90,77.87,292.38,42.21,3.82,139.92
2016Q1,91.46,"6,980.07",41.38,78.31,47.50,45.92,39.53,132.15,37.31,668.75,61.67,34.67,67.34,40.89,63.85,265.84,389.87,37.22,77.24,253.93,32.72,3.04,81.72
2016Q2,115.40,"7,618.14",44.06,91.25,49.11,45.49,39.90,144.25,38.22,817.73,62.29,36.16,76.55,42.91,66.81,324.99,423.31,38.25,75.48,281.21,44.79,3.24,97.15
2016Q3,154.59,"8,499.87",42.43,102.84,53.09,49.48,38.88,155.39,38.74,740.89,64.33,35.55,82.25,41.53,67.51,376.31,460.74,38.16,77.89,299.97,44.68,3.59,108.18
2016Q4,154.05,"8,279.64",46.01,106.12,52.95,52.80,40.75,166.63,38.76,784.66,64.93,37.81,79.47,43.54,77.85,416.03,492.29,38.01,81.12,311.42,49.06,4.25,140.02
